Term,Definition
CPD,Continuing Professional Development
SVF,Student Voice Framework
SRC,Student Rep Coordinator
SSC,Student Survey Contact
SEL,Student Experience Lead
SVEN,Student Voice Experience Network
BoS,Board of Study
ESEC,Education Student Experience Committee
RE,Review and Enhancement
NSS,National Student Survey
CUPTS,Cardiff University Postgraduate Taught Survey
SSP,Student Staff Panel
MME,Mid Module Enhancement
HEAR,Higher Education Achievement Report
EDI,Equality Diversity and Inclusion
AKDs,Actions and Key Decisions
ESLAs,Enriching Student Life Awards
EME,End of Module Enhancement
BI,Business Intelligence
PG,Postgraduate
PRES,Postgraduate Research Experience Survey
PGT,Postgraduate Taught
PGR,Postgraduate Research
